Country,GDP per capita (USD),Life satisfaction
Afghanistan,19.705.602,2.5229
Albania,13.191.952,5.1174
Algeria,10.735.383,4.8871
Angola,61.102.744,3.7948
Argentina,24.647.629,6.242357
Armenia,12.619.893,5.2826
Australia,48.678.684,7.1835
Austria,51857.69,7.2678
Azerbaijan,13726.77,5.1708
Bahrain,41480.58,6.6469
Bangladesh,48.714.463,5.0246
Belarus,18.274.021,5.566307
Belgium,48154.87,7.113178
Belize,71.936.343,5.9556
Benin,3.044.517,4.1414
Bhutan,11.142.475,5.0821
Bolivia,8.423.697,5.7519
Bosnia and Herzegovina,13.753.838,5.1294
Botswana,15.948.032,3.5898
Burkina Faso,2.044.387,4.4244
Burundi,7.735.729,2.9045
Cambodia,3.928.374,4.4326
Cameroon,3.665.118,4.9753
Canada,48.317.176,7.3285
Central African Republic,945.142,3.4759
Chad,15.796.261,4.4227
Chile,24967.58,6.2285
China,159.776.455,5.1239
Colombia,14.585.303,6.1634
Comoros,3.058.818,4.2886
Congo,38.257.014,5.1944
Costa Rica,20937.54,7.1214
Cote d'Ivoire,5.212.554,5.2333
Croatia,29.336.086,5.5047
Cyprus,37.481.812,6.416459
Czechia,34002.19,6.35963
Democratic Republic of Congo,89.482.654,3.983849
Denmark,51.293.207,7.85574
Dominican Republic,13.024.328,5.036006
Ecuador,10.329.199,5.764
Egypt,11.951.447,4.2827
